이름	품목	명산품	도시	성수기	평수기	비수기	설명
베이컨	식료품	-	낭트/더블린/말라가	가을/건기		봄	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 인도, 말레이
벨라도나	의약품	-	튀니스/바그다드	봄/우기		가을	눈에 넣으면 동공이 확대되는 약용 식물.라틴어로 "아름다운 숙녀"라는 뜻이다.
벨벳	직물	명산품	나폴리/베네치아/자다르/제노바/피사	봄/건기		가을/우기	깃털처럼 부드러운 질감이 나도록 직조한 비단.좋은 감촉과 아름다운 광택으로 널리 사랑받는 옷감이다.
벼	식료품	-	배서스트/베냉/코하셋/벵겔라/아비앗/하노이/포트사이드	가을/건기		봄	쌀이 열리는 작물.아시아 대부분 지역과 서아프리카 등지에서 재배한다.
보드카	주류	명산품	리가/베르겐/상트페테르부르크	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
보리	식료품	-	마사와/바르나/모잠비크/오데사/코펜하겐	가을/건기		봄	가장 오래된 작물 중의 하나.척박한 토지에서도 잘 자란다.
보석세공	공예품	-	무스카트/캘리컷/함부르크/바그다드				
복분자	기호품	-	영일/한양	가을/건기	4계절	봄/우기	산딸기의 일종.술이나 차로 만들어 복용하며 약으로도 사용한다.
봉	무기류	-	북경/서안				
부메랑	무기류	-	카카투와/핀자라/호바트/포트피리		4계절		
부채	잡화	명산품	동래/영일	우기	4계절		종이와 나무로 만든 부채.더울 때 사용할 수 있다.
부채선인장	의약품	-	과테말라/오론/아카풀코	봄/우기		가을	중남미 원산의 선인장.백년초라고도 하며 열매는 만병통치약으로 전해진다.
부케가르니	조미료	-	몽펠리에	여름/건기		겨울	타임, 파슬리, 셀러리, 월계수 잎 등을 묶어 만든 다발.조림 요리의 향을 내는 데 사용된다.
붓꽃	의약품	명산품	에조	봄/우기		가을	붓 모양의 잎을 가진 식물.민간에서는 피부병 치료나 진통제 등에 사용된다.
브랜디	주류	-	리스본/낭트/마르세유/보르도/앤트워프	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
블루베리	기호품	명산품	오론	가을/건기		봄/우기	진한 파랑의 열매 과일.신맛과 단맛이 나서 다양한 요리에 활용된다.
비단	직물	-	마르세유/베네치아/사사리/시라쿠사/칼리아리/캘커타/페구	봄/건기		가을/우기	여러 가지 색상의 고치실로 짠 고급 견직물.주로 신분 높은 사람들이 비단옷을 입었다.
비도	무기류	-	상투메/시에라리온/아르긴				
비취	보석	명산품	페구	여름/우기	4계절	겨울/건기	짙은 초록색의 옥.빛이 아름다워 장신구로 쓰인다.
비쿠냐털	섬유	명산품	코피아포/툼베스				
빈가타	직물	명산품	나하	봄/건기	4계절	가을/우기	류큐 왕조에서 처음 만든 염색 직물.신분제 사회였던 류큐 왕국은 빈가타의 바탕색으로 신분을 확인했다.
사과식초	조미료	명산품	칼레	여름/건기		겨울	사과를 발효 시켜 만든 식초.달콤한 향기와 단맛이 난다.
사금	귀금속	-	케이프타운/배서스트/발파라이소/부에노스아이레스/산티아고/산후안/오론/엘미나/아비장/포트로열/타마타브/팀북투/아투오나	겨울/건기		여름/우기	강가나 바닷가에 퇴적한 금.금광 주변, 혹은 옛 금광 터 주변 물가에서 채취한다.
사금석	보석	명산품	디우	여름/우기		겨울/건기	작은 결정을 함유한 보석.다양한 색상 중 질이 좋은 녹색은 고대부터 장신구로 사용되었다.
사오싱주	주류	명산품	항주	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
사이잘삼	섬유	-	마라카이보/빌렘스타트/카라카스/카르타헤나	겨울/우기		여름	나무처럼 단단하고 짧은 줄기에 잎이 달린 식물.잎에서 섬유를 뽑아 밧줄이나 직물을 짜는 데 사용한다.
사탕 공예품	공예품	명산품	사카이/에도				
사탕무	식료품	-	그단스크/상트페테르부르크/안탈리아	가을/건기	4계절	봄	지중해 연안이 원산지인 붉은 뿌리 작물.뿌리 즙에서 달곰한 맛이 난다.
사탕수수	식료품	-	나사우/라스팔마스/마데이라/아조레스/카보베르데	가을/건기		봄	인류가 가장 많이 재배하는 식물 중 하나.사탕수수 줄기의 즙에 당분이 들어 있다.
사파이어	보석	명산품	마실리파트남/캘리컷/퐁디셰리/말레	여름/우기		겨울/건기	푸른 빛이 아름다운 보석.어원은 푸른색을 뜻하는 라틴어라고 한다.
사프란	향신료	명산품	말라가	봄/건기		가을/우기	유럽 남부와 소아시아가 원산인 향신료.온난하고 비가 적은 곳에서 잘 자란다.
사향	향료	-	디우/캘리컷/코친/페구/하노이	가을/우기		봄/건기	사향노루에게서 얻는 향료.무스크라고도 부르며 매우 귀중히 여겨진다.
산딸기	기호품	-	히혼/제주	가을/건기		봄/우기	산속에서 잘 자라는 나무 딸기류의 일종.열매는 생으로 먹거나 잼이나 술로 만든다.
산양모	섬유	-	고아	겨울/우기		여름	앙고라염소에서 채취한 털.부드럽고 광택이 나지만 오염에 취약하고 보온성은 약간 떨어진다.
산초	향신료	명산품	동래	봄/건기		가을/우기	중국 요리에 많이 들어가는 향신료.독특한 매운맛과 풍미를 지니고 있다.
산초씨	향신료	-	마카오/중경/영일	봄/건기		가을/우기	동아시아 원산의 향신료.산초의 씨앗을 건조한 것으로 독특한 향이 강하게 난다.
산호	보석	-	괌/라스팔마스/소팔라/사마라이/산토도밍고/왕거누이/아투오나	여름/우기		겨울/건기	따뜻하고 얕은 바닷속 바위에 붙어서 사는 동물.단순한 갈색에서 매우 화려한 색상에 이르기까지 다양한 종류가 있다.
산호세공	공예품	-	산토도밍고/카옌				
살구씨	의약품	-	칸디아/이스탄불	봄/우기	4계절	가을	살구씨의 속을 말린 약재.야맹증을 예방하며 피부미용에도 좋다고 알려져 있다.
삼	섬유	-	마카오/산티아고/서안	겨울/우기		여름	중앙아시아가 원산지인 섬유 식물.고대부터 의복 재료로 널리 사용되었다.
삼절곤	무기류	명산품	서안				
생강	향신료	-	야파/포트로열/캘리컷/트루히요/호르무즈	봄/건기	4계절	가을/우기	양념 재료로 많이 이용하는 뿌리채소.동인도 지역이 원산지로 추정된다.
생사	섬유	-	마실리파트남/프레이노코르/캘커타	겨울/우기		여름	누에고치에서 뽑아낸 섬유.특유의 아름다운 광택 때문에 귀중하게 여겨진다.
서각	의약품	명산품	말린디/모잠비크	봄/우기		가을	코뿔소의 뿔, 약재로 사용한다.성질이 매우 차서 해열제나 해독제, 지혈제로 쓰인다.
서양 갑옷	무기류	명산품	브리스톨/에든버러				
서양 대포	총포류	-	세비야/마르세유/제노바/피사		4계절		
서화	미술품	-	동래/연운/서안		4계절		
석류	식료품	-	소코트라/트라브존	가을/건기	4계절	봄	석류나무의 열매.과육은 새콤달콤한 맛이 나고 껍질은 약재로 쓴다.
석류석	보석	명산품	마르세유/몽펠리에/사사리	여름/우기		겨울/건기	석류 열매처럼 생긴 진홍색 보석.가닛이라고도 불린다.
석상	미술품	-	아투오나				
석웅황	염료	명산품	동래/영일	여름/우기	4계절	겨울/건기	붉은 빛이 도는 노란 색 염료.약재, 장신구로도 사용되었다.
석유	공업품	-	나사우/바스라/베냉/엘미나/수에즈/아덴/아비장/제다/카라카스/쿠칭/루안다				
석재	공업품	-	딜리/뤼베크/베르겐/아덴/오슬로		4계절		
석탄	광석	-	두알라/모잠비크/에든버러/가리/쿠칭	봄/건기	4계절	가을/우기	새카맣고 불에 타는 암석.가연성이 좋아 연료 또는 공업 재료로 널리 쓰인다.
선인장	식료품	명산품	메리다/베라크루스	가을/건기		봄	척박한 환경에서 살아가는 식물.식용, 약재, 관상용 등 다양한 용도로 이용된다.
설탕	조미료	명산품	라스팔마스/마데이라/아조레스/카보베르데	여름/건기		겨울	사탕수수로 짠 즙을 바짝 조린 것.인도에서 중국, 동남아시아로 전파되었고, 중동을 거쳐 유럽까지 전해졌다.
설탕봉	조미료	-	마닐라/타이난/산타섬	여름/건기		겨울	캐러멜라이즈 과정을 거친 설탕을 단단히 굳힌 기둥.향이 풍부하고 감칠맛이 난다.
설화 석고	공업품	-	카이로				
세공 장식품	공예품	-	소팔라/마사와/말린디/모잠비크/킬와		4계절		
세이지	의약품	-	세비야/뤼베크/세우타	봄/우기	4계절	가을	오래전부터 만병통치약으로 널리 알려진 약용식물.꽃은 향기가 좋고 줄기는 나무 같고, 잎은 부드럽고 폭신하다.
세피아	염료	-	테살로니키/아테네	여름/우기		겨울/건기	오징어의 먹물에서 추출한 염료.색깔이 쉽게 빠져 흑갈색 빛이 돌며 잉크로 사용한다.
센나	의약품	-	바스라/시라즈	봄/우기		가을	인도에서 사용해 온 약초.변비에 특효가 있다.
셀러리 씨앗	향신료	-	시라쿠사/코펜하겐/팔마	봄/건기		가을/우기	셀러리의 씨를 말린 향신료.강하면서도 상큼한 특유의 향이 음식의 잡내를 없애고 느끼함을 줄여 준다.
셰리	주류	-	말라가/파루/페르남부쿠	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
소	가축	-	사우스사이드/말라가/오론/바르나/에든버러	겨울/건기		여름	널리 사육되고 있는 가축.힌두교에서는 특정 종류를 매우 신성시한다.
소가죽	공업품	-	단나하/런던/천주				
소금	조미료	-	마카사르/모가디슈/비사우/아조레스/핀자라	여름/건기	4계절	겨울	바닷물을 증발시키거나 암염을 잘라내 만든 것.인간이 살아가는 데 없어서는 안 되는 식자재이다.
소바	식료품	명산품	나가사키	가을/건기		봄	메밀을 원료로 한 일본의 면.식감이 매력적이다.
소시지	식료품	-	포르투/더블린/앤트워프	가을/건기		봄	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 인도, 말레이
소형 방패	무기류	-	그로닝겐/케르치/타간로크/히혼				
솔먹	잡화	-	마카오/서안/항주	우기	4계절		소나무를 태워 나오는 송연으로 만든 먹.동아시아권 문명의 발전에 크게 이바지한 발명품 중 하나이다.
송로버섯	식료품	명산품	몽펠리에/사사리/칼리아리/칼비	가을/건기		봄	강렬한 향을 가진 버섯.돼지를 이용하여 캐낸다.
쇠고기	식료품	-	모가디슈/부에노스아이레스/바르나/에든버러/코펜하겐	가을/건기		봄	아래 문화권에서 팔 수 없음인도
수단	식료품	-	제주	가을/건기		봄	조선의 전통 음료.삶은 경단을 꿀물에 넣고 잣을 띄운다.
수레	잡화	-	서안/중경	우기			바퀴를 달아 굴러가게 만든 기구.짐을 싣거나 사람을 태워 이동하기에 유용하다.
수선화	향료	명산품	베이루트/야파/안탈리아	가을/우기		봄/건기	지중해 인근에서 자생하는 꽃.자기애를 의미하는 말인 "나르시스"라고도 불린다.
수은	공업품	-	세비야/다바오/마카사르				
수은제	의약품	명산품	세비야	봄/우기	4계절	가을	수은이 포함된 약품.살균력이 강하지만 부작용이 있을 수 있다.
수정	보석	-	베르겐/오슬로	여름/우기		겨울/건기	결정형이 뚜렷하고 투명한 보석.다양한 색상의 수정이 존재하며 유리보다 먼저 안경의 재료로 쓰였다고 한다.
순록	가축	-	아르한겔스크	겨울/건기		여름	북극 지방에 서식하는 포유류.순록의 털은 보온에 유용하다.
순무	식료품	-	라구사/오슬로/트리에스테/트리폴리	가을/건기		봄	아래 문화권에서 팔 수 없음인도
순백자	공예품	명산품	나가사키/사카이				
숨마끄	향신료	명산품	마사와/바스라		4계절		
쉬카뚤카	공예품	명산품	아르한겔스크/코르프/오호츠크/체르스키		4계절		
슈리오리	직물	명산품	나가사키	봄/건기	4계절	가을/우기	오키나와의 전통 직물.복잡한 직조로 전통적이고 독창적인 문양이 나타난다.
스테인드글라스	미술품	명산품	마르세유/칼리아리				
시더우드	향료	명산품	터코마	가을/우기	4계절	봄/건기	톱밥 등을 쪄서 추출하는 향료.달콤한 향기에 벌레를 쫓아내는 효과가 있다.
시벳	향료	-	베이루트/수에즈/알렉산드리아/야파	가을/우기		봄/건기	사향고양이에게 얻는 향료.사향과 비슷한 향기를 가지며 맛이 쓰고 맵다.
시어 버터	의약품	명산품	마데이라/아조레스	봄/우기		가을	시어 너트에서 추출하는 유지.고대 이집트에서도 화장품으로 사용하였다.
아과요	직물	명산품	리마/코피아포/툼베스	봄/건기		가을/우기	라마와 알파카 등의 털로 짠 안데스의 전통 직물.역사가 매우 오래되었으며 다채로운 색이 특징이다.
아나토	염료	-	나사우/포르토벨로	여름/우기		겨울/건기	잇꽃나무의 씨로 만든 염료.서인도제도에서는 아나토를 온몸에 바르고 전쟁에 임하던 관습이 있었다.
아니스	의약품	-	오데사/타간로크	봄/우기		가을	이집트가 원산지인 약초.증류하여 얻은 기름을 약재로 사용한다.
아니카	의약품	명산품	오론/아카풀코	봄/우기		가을	산담배로도 알려진 의약품.진통제로 사용한다.
아라크	주류	명산품	도파르/무스카트/소코트라/아덴/제다/도하	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
아마	섬유	명산품	베르겐/스톡홀름/오슬로	겨울/우기		여름	고대부터 의류 제작에 사용한 섬유.아마 줄기의 섬유로 리넨이라는 직물을 만든다.
아몬드	기호품	명산품	리스본/말라가/발렌시아/팔마	가을/건기		봄/우기	튀르키예가 원산지인 견과류.보통은 구워 먹는데 특유의 고소한 향과 맛이 일품인 음식이다.
아몬드기름	조미료	-	리스본	여름/건기		겨울	아몬드를 짜낸 기름.좋은 향기가 나는 고급 식용유이다.
아보카도	기호품	명산품	리우데자네이루/마라카이보/바이아/부에노스아이레스/카르타헤나/페르남부쿠	가을/건기		봄/우기	중앙아메리카가 원산지인 기름진 열매.초록색 과육에서 부드럽고 고소한 특유의 맛을 느낄 수 있다
아연 광석	광석	-	카리비브/무스카트/아카풀코/몸바사/킬와	봄/건기		가을/우기	아연이 포함된 광석.아연을 동에 섞으면 놋쇠가 된다.
아위	향신료	명산품	바스라/시라즈/호르무즈/바그다드	봄/건기		가을/우기	강한 향이 난다는 오신채 중 하나.마늘과 로즈메리를 섞은 향이 난다.
아주라이트	염료	-	보르도/칼레	여름/우기		겨울/건기	남동석이라고도 부르는 짙은 남청색의 안료.고대부터 푸른 색상을 내는 염료로 사용했다.
아줄레주	공예품	명산품	리스본/포르투				
아콰비트	주류	명산품	베르겐/비스뷔/스톡홀름/코펜하겐	겨울/건기	4계절	여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
아프리카 쇠뇌	무기류	명산품	두알라/배서스트/베냉/비사우/엘미나/시에라리온				
악어고기	식료품	-	카카투와/핀자라	가을/건기	4계절	봄	악어의 고기.닭고기나 새우와 맛이 비슷하다.
안식향	향료	명산품	말라카/프레이노코르/파사이	가을/우기		봄/건기	동남아시아에서 자생하는 안식향 나무의 수지.약효가 있으며 달콤한 향기가 난다.
안초비	조미료	-	팔마	여름/건기		겨울	지중해나 유럽 근해에서 나는 멸치류의 작은 물고기.바스크어로 건어물을 뜻하는 "안초바"에서 온 말이다.
알 공예품	공예품	명산품	나탈/소팔라/카리비브/케이프타운/켈리마느				
알파카	가축	명산품	리마/우수아이아/코피아포/툼베스	겨울/건기	4계절	여름	낙타과에 속하는 포유류.안데스의 고산 지대가 주요 서식지이다.
알파카 털실	섬유	명산품	리마/우수아이아/코피아포/툼베스	겨울/우기		여름	낙타과에 속하는 포유류의 털로 만든 실.뻣뻣한 촉감과 독특한 색감이 특징이다.
야자기름	조미료	-	괌/라스팔마스/비사우/사마라이/상투메/시에라리온/아비장/자카르타/루안다/하와이	여름/건기		겨울	기름야자의 열매를 짜낸 기름.흰색 또는 연한 노란색을 띠며 특유의 향이 있다.
야자섬유	섬유	-	도파르/발파라이소/상투메/엘미나/벵겔라	겨울/우기		여름	야자 껍데기로 만든 실.질기고 튼튼하여 밧줄 등에 쓰인다.
야자술	주류	-	반다/아체/홀로/마히나	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
양	가축	-	비스뷔/에든버러/제다	겨울/건기		여름	희고 풍성한 털이 특징인 가축.사람이 길들인 동물 중 개 다음으로 오래되었다.
양고기	식료품	-	나르비크/제다/안탈리아/호르무즈/레이캬비크	가을/건기		봄	양의 고기.지역 및 문화에 따라 다양한 조리법이 있다.
양마	섬유	-	도버/알제/함부르크	겨울/우기		여름	유용한 옷감 소재를 얻을 수 있는 섬유 작물."케나프"라고도 불리며 매우 튼튼해서 선박용 밧줄로도 사용된다.
양모	섬유	-	에든버러/레이캬비크	겨울/우기		여름	양털을 깎은 것.보온성이 높아 의류에 많이 사용된다.
양손검	무기류	명산품	비스뷔/스톡홀름				
양초	잡화	-	트리폴리/산타섬	우기	4계절		기름, 밀랍 등을 이용해 제작한 도구.초에 불을 붙여 주변을 밝히는 데 사용했다.
양파	식료품	-	낭트/팡칼피낭/부에노스아이레스/알제/카이로/팔렘방	가을/건기		봄	아래 문화권에서 팔 수 없음인도
양피지	공업품	명산품	아테네				
어육	식료품	-	누탁/딜리/레이캬비크/마히나/반자르마신/배로우/아르긴/아비앗/오호츠크/우수아이아/율도/체르스키/카나크/카탄가/캠브리지베이	가을/건기	4계절	봄	먹을 수 있는 생선의 총칭.소금에 절이거나 말려서 보존하기 쉽게 가공한다.
에리카	의약품	-	리가/스톡홀름	봄/우기		가을	"히스"라고 불리는 희고 붉은 꽃.옛날부터 민간 약재로 사용했다.
에메랄드	보석	-	리마/말린디/모가디슈/모잠비크/몸바사/잔지바르/타마타브/툼베스	여름/우기		겨울/건기	아름다운 취록색을 띠는 보석.고대부터 가치를 인정받아 인지도와 가격이 높은 보석이다.
에키네시아	의약품	명산품	누탁/메리다/베라크루스/코하셋/트루히요/포르토벨로/아비앗	봄/우기		가을	봄부터 여름까지 피는 분홍색의 꽃.다양한 용도로 사용된다.
염소	가축	-	도파르/라스팔마스/부에노스아이레스/제다/바그다드/산타섬	겨울/건기		여름	널리 사육되고 있는 가축.고기 외에 털도 귀중히 여겨진다.
염장 대구	식료품	명산품	나르비크/아르한겔스크	가을/건기		봄	소금에 절여 말린 대구.다양한 요리에 사용된다.
오레가노	향신료	-	라구사/테살로니키/팔마	봄/건기		가을/우기	향이 강한 식물이며 향신료로 쓰인다.양이나 물고기의 냄새를 제거하는 데 좋다.
오렌지	식료품	-	소팔라/마카오/말린디/모가디슈/잔지바르	가을/건기		봄	주황빛에 모양이 둥글고 껍질이 두꺼우며 과즙이 많은 열매.이름은 남프랑스에 있는 도시 "오랑주"에서 유래했다고 한다.
오렌지기름	향료	명산품	카리비브/켈리마느	가을/우기		봄/건기	오렌지 껍질에서 짜낸 기름.몸과 마음을 따뜻하게 해주는 활력 효과가 있다.
오리	가축	-	런던/파사이/히혼	겨울/건기		여름	야생 오리를 개량한 가축.고기와 달걀을 얻기 위해 키운다.
오리고기	식료품	-	라구사/리가/마르세유/발렌시아/베르겐/보르도	가을/건기		봄	오리를 도축해서 만든 고기.고소하면서도 누린내가 거의 없다.
오배자	염료	명산품	에조	여름/우기		겨울/건기	오배자면충이 붉나무 열매에 기생해 만든 벌레혹.벌레가 만든 주머니로 검은색 염료를 만든다.
오크모스	향료	명산품	칸디아/테살로니키/아테네	가을/우기		봄/건기	참나무에 나는 이끼에서 추출한 향료.주로 녹색이나 흰색 계열이며, 향은 차분한 느낌을 준다.
오팔	보석	명산품	사우스사이드/포를라마르/카라카스	여름/우기		겨울/건기	다양한 색채를 가진 보석.표면이 충격에 약해 깨질 수 있어 취급에 주의해야 한다.
옥 공예품	공예품	명산품	롭부리/프레이노코르/페구/하노이				
옥수수	식료품	-	메리다/베라크루스/파나마/포르토벨로	가을/건기	4계절	봄	신대륙이 원산지인 식용 작물.녹말이 풍부하며 가축 사료로도 쓴다.
옥수수기름	조미료	-	과테말라	여름/건기		겨울	대표적인 식물성 식용유.옥수수 씨눈만 분리해 짜낸 기름이다.
올리브	식료품	-	칸디아/라구사/발렌시아/시라쿠사	가을/건기		봄	세계에서 가장 오래된 과일 종류 중 하나.절임으로 만들어 간식이나 안주로 먹는다.
올리브기름	조미료	-	칸디아/라구사/이스탄불/호르무즈	여름/건기		겨울	올리브 열매에서 추출한 식물성 기름.올리브가 자생하는 지중해 연안에서 전통적으로 사용해왔다.
올스파이스	향신료	명산품	나사우/빌렘스타트/포트로열/트루히요	봄/건기		가을/우기	성숙하기 전 올스파이스나무의 열매를 건조한 향신료.온갖 향신료들을 섞은 것 같은 향기가 나기 때문에 올스파이스라고 한다.
옻	공업품	-	덕원/동래/사카이				
와시	잡화	-	에도/에조	우기	4계절		일본 고유의 제조법으로 만든 종이.튼튼하고 부드러우며 보존성이 매우 뛰어나다.
요구르트	기호품	명산품	바스라/시라즈/바그다드	가을/건기		봄/우기	동물의 젖을 발효시켜 만든 건강식품.유목민들이 동물 젖의 양분을 보존하기 위해 만들었다.
요세기세공	공예품	명산품	사카이				
용골	의약품	명산품	천주/항주	봄/우기	4계절	가을	고대 포유동물의 뼈 화석.정신 안정에 효과가 있는 것으로 알려져 있다.
용연향	향료	-	소코트라/아덴/카사블랑카	가을/우기		봄/건기	향유고래의 장에서 만들어지는 값비싼 향료.예전부터 최고급 향수 재료로 사용되었다.
용혈	의약품	명산품	소코트라	봄/우기		가을	소코트라섬에 자생하는 용혈수의 수액.진통제나 지혈제뿐만 아니라 화장품으로도 사용한다.
우유	식료품	-	앤트워프/야파/포트사이드	가을/건기		봄	소와 염소 등에서 짜낸 젖.다양한 유제품의 원료가 된다.
우황	의약품	-	덕원/연운	봄/우기		가을	소의 담석을 말린 것.해열이나 진통 등에 사용된다.
월계수	향신료	명산품	테살로니키/아테네	봄/건기		가을/우기	지중해 연안이 원산지인 향신료.말린 잎은 베이 리프라고 하며, 향기가 좋아서 요리나 차에 넣는다.
월장석	보석	-	실론/페구	여름/우기		겨울/건기	달빛처럼 은은한 유백색을 내는 보석.인도에서는 신성한 돌로 여겨진다.
월하향	향료	-	모가디슈/잔지바르/타마타브	가을/우기		봄/건기	밤에 향기가 나는 흰 꽃으로 향료로 쓰인다."튜베로즈", "만향옥"으로도 불린다.
위스키	주류	명산품	더블린/도버/런던/에든버러	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
유리구슬	공예품	명산품	그로닝겐/암스테르담/덴헬데르				
유리그릇	공예품	-	베네치아		4계절		
유리세공	공예품	-	그로닝겐/베네치아/안코나/트리에스테		4계절		
유자	향신료	명산품	에도	봄/건기	4계절	가을/우기	요리에 향을 낼 때 사용하는 과실.껍질이 울퉁불퉁하고 상큼한 향기가 난다.
유칼립투스	향료	명산품	카카투와/가리/핀자라	가을/우기		봄/건기	열대 지방에서 볼 수 있는 수목.잎에서 졸음이 깰 듯한 청량감 있는 향기가 나며 채취한 기름은 감기에 효과가 있다.
유향	향료	명산품	도파르/무스카트/아덴/제다	가을/우기		봄/건기	유향나무에서 채취한 향료로 고대부터 귀중하게 여겼다.동방박사들이 아기 예수에게 준 세 가지 선물 중 하나였다고 한다.
유화	미술품	-	나폴리/제노바/튀니스				
유황	광석	-	바스라/상트페테르부르크/스톡홀름/도하/쿠칭	봄/건기	4계절	가을/우기	화약에 사용되는 광석.지독한 냄새와 불이 잘 붙는 특징을 가지고 있다.
육두구	향신료	명산품	딜리/반다/팡칼피낭/암본/테르나테	봄/건기		가을/우기	동남아시아 원산의 향신료.너트메그라고도 하는데, "사향 냄새가 나는 호두"라는 뜻이다.
융단	직물	-	바스라/이스탄불/제다/트라브존	봄/건기		가을/우기	양의 털, 목화 혹은 비단 등으로 만든 직물.주로 바닥에 깔거나 벽에 거는 용도로 사용된다.
은	귀금속	-	과테말라/괌/나가사키/바이아/베라크루스/부에노스아이레스/산토도밍고/아카풀코/에도/코피아포/포르토벨로/호바트	겨울/건기		여름/우기	귀금속의 일종.금에 버금가는 것으로서 귀중히 여겨진다.
은 광석	광석	명산품	베라크루스/코하셋				
은 식기	공예품	-	나폴리/제노바		4계절		
은방울꽃	향료	명산품	브레멘/함부르크	가을/우기	4계절	봄/건기	방울 모양의 아름다운 흰색 꽃이나 독초이다.외형과 청초하고 아름다운 향기로 인기가 많다.
은세공	공예품	-	베라크루스/트루히요/하바나				
이슬람의 경전	잡화	-	아덴/제다	우기	4계절		이슬람교의 경전을 번역한 서적.이슬람교의 창시자가 천사의 계시를 듣고 읽은 것을 정리한 것이다.
인도 편사	직물	명산품	마실리파트남/캘커타	봄/건기		가을/우기	화려한 색상의 면직물.찍어낸 듯한 선명한 무늬가 아름답다.
인디고	염료	명산품	캘리컷/코친	여름/우기		겨울/건기	쪽풀에서 채취한 청색의 식물성 천연염료.예전부터 천을 염색하는 데 주로 사용했다.
인삼	의약품	명산품	영일/한양	봄/우기		가을	뿌리 모양이 사람 모습과 비슷하게 생긴 약용 식물.조선 토종인삼은 약효가 뛰어나기로 유명하다.
인쇄물	잡화	-	리스본/암스테르담/이스탄불	우기			활판을 이용해 대량으로 인쇄된 유럽 책.인쇄술이 가져온 책 양산으로 대중이 더 쉽게 지식을 얻을 수 있게 되었다.
일랑일랑	향료	명산품	롭부리/마닐라/수라바야/파사이/하노이	가을/우기		봄/건기	꽃잎이 길쭉한 동남아시아의 향료.이름은 "황야"라는 뜻의 타갈로그어에서 유래했다.
일본 장창	무기류	명산품	사카이				
일본도	무기류	-	나가사키/사카이/에도		4계절		
일본화	미술품	명산품	에도		4계절		
잇꽃	염료	명산품	베이루트/벵가지/카이로/트라브존	여름/우기	4계절	겨울/건기	황적색의 꽃잎을 따서 얻는 염료.이집트에서는 기원전부터 잇꽃으로 염색을 했다.
잉카로즈	보석	명산품	터코마	여름/우기		겨울/건기	장미를 닮은 색의 아름다운 보석.물결처럼 반짝인다.
자근	염료	명산품	제주	여름/우기		겨울/건기	지치라는 식물의 뿌리를 건조한 것.보라색 염료로 사용한다.
자단	공업품	-	암본/파사이				
자두	기호품	-	라구사/벵가지/타간로크/트리에스테	가을/건기	4계절	봄/우기	자두나무의 열매.단맛과 신맛이 강하고 영양이 풍부하다.
자수정	보석	명산품	나가사키	여름/우기		겨울/건기	보랏빛이 나는 수정.예로부터 귀족들을 상징하는 보석이었다.
자철 광석	광석	-	발파라이소/소코트라	봄/건기		가을/우기	자성을 띤 철을 함유한 광석.자성이 강해 나침반의 재료로 사용된다.
작약	의약품	-	몽펠리에/사사리/트라브존	봄/우기		가을	그리스 신화에도 나오는 약용 원예 식물.중국에서는 관상용으로 재배한 기록이 있으며 뿌리는 진통 효과가 있다고 한다.
장궁	무기류	명산품	더블린/도버/브리스톨/에든버러/플리머스				
장뇌	향료	-	팡칼피낭/아체/팔렘방/하노이	가을/우기	4계절	봄/건기	녹나무의 수액이 결정화된 향료.청량감이 강한 향기가 난다.
장미	향료	-	칼레/안탈리아/피사	가을/우기		봄/건기	종류가 다양하며 관상, 미용, 향료 등 다용도로 사용되는 꽃.꽃의 여왕이라고 불릴 정도로 화려하고 향이 강하다.
재스민	향료	명산품	고아/퐁디셰리	가을/우기		봄/건기	신의 선물이라고도 불리며 향기 좋은 꽃의 대표.깨끗이 씻은 잎과 꽃을 햇볕에 잘 말려서 건조한 후 사용한다.
잼	조미료	-	발렌시아/이스탄불/바그다드	여름/건기		겨울	과일 등을 설탕으로 졸여낸 저장식품.노스트라다무스는 설탕을 이용한 과일잼 조리법을 정리했다.
전기석	보석	-	그단스크/리가/비스뷔/상트페테르부르크	여름/우기		겨울/건기	다양한 색이 함께 나타나는 보석."여러 가지 색이 섞인 돌"이란 의미의 투르말린이라고도 불린다.
전승정종	주류	명산품	에도	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
